,상호명,상권업종중분류명,상권업종소분류명,도로명주소,역명,거리,카카오url,역,검색어
0,버블베어,커피점/카페,커피전문점/카페/다방,서울특별시 강서구 금낭화로 167,5호선 방화,261.0921370264273,https://place.map.kakao.com/18553005,방화,방화역 버블베어
1,필링,커피점/카페,커피전문점/카페/다방,서울특별시 종로구 수표로 110,5호선 종로3가(탑골공원),125.48092436708193,https://place.map.kakao.com/22025606,종로3가,종로3가역 필링
2,다나인터내셔널,커피점/카페,커피전문점/카페/다방,서울특별시 송파구 동남로 217,5호선 개롱,236.1553786186012,https://place.map.kakao.com/607794375,개롱,개롱역 다나인터내셔널
3,뉴욕핫도그앤커피,커피점/카페,커피전문점/카페/다방,서울특별시 광진구 아차산로70길 62,5호선 광나루(장신대),582.3935602876312,https://place.map.kakao.com/579183139,광나루,광나루역 뉴욕핫도그앤커피
4,오가다,커피점/카페,커피전문점/카페/다방,서울특별시 강서구 하늘길 260,5호선 송정,982.2997816783493,https://place.map.kakao.com/2012393552,송정,송정역 오가다
5,토크엔,커피점/카페,커피전문점/카페/다방,서울특별시 영등포구 선유로 75,5호선 양평,436.9839711325438,https://place.map.kakao.com/27229121,양평,양평역 토크엔
6,커피니,커피점/카페,커피전문점/카페/다방,서울특별시 강서구 곰달래로 178,5호선 신정(은행정),427.4991973739306,https://place.map.kakao.com/725058573,신정,신정역 커피니
7,커피에반하다,커피점/카페,커피전문점/카페/다방,서울특별시 양천구 목동동로 53,5호선 목동,902.2883749928274,https://place.map.kakao.com/650656896,목동,목동역 커피에반하다
8,쉘브르,커피점/카페,커피전문점/카페/다방,서울특별시 서대문구 통일로 145-1,5호선 서대문,237.30835959699792,https://place.map.kakao.com/15716472,서대문,서대문역 쉘브르
9,뉴웨이브커피로스터스,커피점/카페,커피전문점/카페/다방,서울특별시 양천구 오목로56길 2,5호선 오목교(목동운동장앞),70.50291617398648,https://place.map.kakao.com/1206139411,오목교,오목교역 뉴웨이브커피로스터스
10,커피볶는집와플에숍,커피점/카페,커피전문점/카페/다방,서울특별시 강서구 강서로16길 20,5호선 까치산,115.58963826460207,https://place.map.kakao.com/21658379,까치산,까치산역 커피볶는집와플에숍
11,알랑가,커피점/카페,커피전문점/카페/다방,서울특별시 강서구 강서로 318-8,5호선 우장산,347.6146813819718,https://place.map.kakao.com/23767513,우장산,우장산역 알랑가
12,카카오독애견카페,커피점/카페,커피전문점/카페/다방,서울특별시 강서구 곰달래로60길 33,5호선 목동,396.2828407320761,https://place.map.kakao.com/17066752,목동,목동역 카카오독애견카페
13,초록이네,커피점/카페,커피전문점/카페/다방,서울특별시 마포구 숭문길 39,5호선 마포,572.0857566100124,https://place.map.kakao.com/1924311007,마포,마포역 초록이네
14,할리스커피마포역점,커피점/카페,커피전문점/카페/다방,서울특별시 마포구 마포대로 33,5호선 마포,11.896568077557676,https://place.map.kakao.com/21458966,마포,마포역 할리스커피마포역점
15,씨제이푸드빌,커피점/카페,커피전문점/카페/다방,서울특별시 종로구 새문안로 85,5호선 광화문(세종문화회관),305.9819901924838,https://place.map.kakao.com/14507468,광화문,광화문역 씨제이푸드빌
16,캐리키즈카페,커피점/카페,커피전문점/카페/다방,서울특별시 영등포구 국제금융로 10,5호선 여의도,212.41883782778515,https://place.map.kakao.com/1848625539,여의도,여의도역 캐리키즈카페
17,통툰만화까페,커피점/카페,커피전문점/카페/다방,서울특별시 강서구 강서로52길 16,5호선 우장산,633.7372632783959,https://place.map.kakao.com/584447017,우장산,우장산역 통툰만화까페
18,전통찻집,커피점/카페,커피전문점/카페/다방,서울특별시 종로구 종로1길 42,5호선 광화문(세종문화회관),289.0887861580728,https://place.map.kakao.com/1154343797,광화문,광화문역 전통찻집
19,엔제리너스,커피점/카페,커피전문점/카페/다방,서울특별시 종로구 새문안로 91,5호선 광화문(세종문화회관),235.86859346323814,https://place.map.kakao.com/25712141,광화문,광화문역 엔제리너스
20,베러댄와플,커피점/카페,커피전문점/카페/다방,서울특별시 양천구 목동동로8길 33,5호선 오목교(목동운동장앞),636.9511193699561,https://place.map.kakao.com/1386588269,오목교,오목교역 베러댄와플
21,커피샵,커피점/카페,커피전문점/카페/다방,서울특별시 영등포구 선유로9나길 12,5호선 양평,572.5291504632328,https://place.map.kakao.com/934797745,양평,양평역 커피샵
22,이디야커피,커피점/카페,커피전문점/카페/다방,서울특별시 양천구 오목로 155,5호선 신정(은행정),111.63703701149907,https://place.map.kakao.com/656418825,신정,신정역 이디야커피
23,테라로사커피,커피점/카페,커피전문점/카페/다방,서울특별시 종로구 종로1길 50,5호선 광화문(세종문화회관),324.24019575533544,https://place.map.kakao.com/24725284,광화문,광화문역 테라로사커피
24,투썸플레이스,커피점/카페,커피전문점/카페/다방,서울특별시 영등포구 영등포로 193,5호선 영등포시장,254.18870997615213,https://place.map.kakao.com/1354023045,영등포시장,영등포시장역 투썸플레이스
25,헬로방방,커피점/카페,커피전문점/카페/다방,서울특별시 마포구 마포대로 195,5호선 애오개,169.95456432673558,https://place.map.kakao.com/1560814152,애오개,애오개역 헬로방방
26,백미당,커피점/카페,커피전문점/카페/다방,서울특별시 영등포구 국제금융로 10,5호선 여의도,212.41883782778515,https://place.map.kakao.com/528352663,여의도,여의도역 백미당
27,카페라리목동점,커피점/카페,커피전문점/카페/다방,서울특별시 양천구 은행정로4길 25,5호선 목동,438.5300358300924,https://place.map.kakao.com/8104183,목동,목동역 카페라리목동점
