,상호명,상권업종중분류명,상권업종소분류명,도로명주소,역명,거리,역,검색어,naver_map_url
0,도전최강달인왕만두,한식,한식/백반/한정식,서울특별시 강동구 고덕로 333,5호선 상일동,373.3628767893122,상일동,상일동역 도전최강달인왕만두,https://pcmap.place.naver.com/restaurant/1187890786/review/visitor#
1,이때,한식,한식/백반/한정식,서울특별시 마포구 동교로38안길 7,경의중앙 홍대입구,360.46876976066255,홍대입구,홍대입구역 이때,https://pcmap.place.naver.com/restaurant/1641118302/review/visitor#
2,L.A.D,한식,한식/백반/한정식,서울특별시 마포구 잔다리로3안길 23,2호선 홍대입구,583.5941763673111,홍대입구,홍대입구역 L.A.D,https://pcmap.place.naver.com/restaurant/1857845585/review/visitor#
3,제이씨에스푸드,한식,한식/백반/한정식,서울특별시 관악구 신림로14길 3,2호선 봉천,860.540255114568,봉천,봉천역 제이씨에스푸드,
4,비지트,한식,한식/백반/한정식,서울특별시 서초구 동광로18길 82,2호선 방배,810.9756426881672,방배,방배역 비지트,https://pcmap.place.naver.com/restaurant/1848424123/review/visitor#
5,쓰리에프,한식,한식/백반/한정식,서울특별시 동작구 동작대로27가길 12,4호선 총신대입구(이수),137.23285652100842,총신대입구,총신대입구역 쓰리에프,
6,채움,한식,한식/백반/한정식,서울특별시 종로구 삼봉로 81,1호선 종각,217.22044124142639,종각,종각역 채움,
7,호구의주방,한식,한식/백반/한정식,서울특별시 영등포구 선유로 269,9호선 선유도,410.9939637492117,선유도,선유도역 호구의주방,
8,다향,한식,한식/백반/한정식,서울특별시 서초구 효령로 230,2호선 서초,637.1960687747954,서초,서초역 다향,https://pcmap.place.naver.com/restaurant/1514044516/review/visitor#
9,고향생막걸리,유흥주점,민속주점,서울특별시 강남구 압구정로 216,3호선 압구정,426.31448001976105,압구정,압구정역 고향생막걸리,https://pcmap.place.naver.com/restaurant/1496470647/review/visitor#
10,든든한우家,한식,한식/백반/한정식,서울특별시 서초구 반포대로16길 30,3호선 남부터미널(예술의전당),318.0537558528234,남부터미널,남부터미널역 든든한우家,
11,이삭토스트,패스트푸드,토스트전문,서울특별시 양천구 목동동로 379,9호선 신목동,760.4207531849452,신목동,신목동역 이삭토스트,
12,옥돌영양탕,닭/오리요리,삼계탕전문,서울특별시 광진구 긴고랑로36길 24,5호선 아차산(어린이대공원후문),354.92195734956823,아차산,아차산역 옥돌영양탕,https://pcmap.place.naver.com/restaurant/18806506/review/visitor#
13,양푼이김치찌개,한식,한식/백반/한정식,서울특별시 송파구 오금로17길 20,8호선 몽촌토성(평화의문),351.9343869228206,몽촌토성,몽촌토성역 양푼이김치찌개,https://pcmap.place.naver.com/restaurant/1403941863/review/visitor#
14,은진이네,한식,한식/백반/한정식,서울특별시 마포구 마포대로 196,5호선 애오개,53.08309970180186,애오개,애오개역 은진이네,https://pcmap.place.naver.com/restaurant/1532535770/review/visitor#
15,흥부보쌈,한식,족발/보쌈전문,서울특별시 양천구 목동동로 309,5호선 오목교(목동운동장앞),353.5401384919268,오목교,오목교역 흥부보쌈,https://pcmap.place.naver.com/restaurant/1379617037/review/visitor#
16,고수의족발,한식,족발/보쌈전문,서울특별시 송파구 동남로8길 30-39,8호선 문정,611.1417204428442,문정,문정역 고수의족발,
